Number,UsedTime,Score
"	182100101",874,12
"	182100102",3186,124
"	182100103",33618,781
"	182100104",16265,199
"	182100105",1687,22
"	182100106",5602,64
"	182100107",3868,45
"	182100109",13560,84
"	182100110",3362,23
"	182100111",62697,1043
"	182100112",68,1
"	182100113",369,11
"	182100114",4671,37
"	182100115",7244,147
"	182100117",23248,875
"	182100118",10975,79
"	182100119",1537,67
"	182100122",18440,434
"	182100123",7598,71
"	182100124",10493,120
"	182100125",13664,87
"	182100126",2621,25
"	182100128",27539,182
"	182100129",25006,268
"	182100201",6163,82
"	182100202",547,11
"	182100203",6700,72
"	182100205",1115,16
"	182100207",78776,1076
"	182100208",30974,339
"	182100209",1878,24
"	182100210",28659,351
"	182100213",3846,22
"	182100214",40129,455
"	182100215",23720,401
"	182100217",8250,250
"	182100218",2773,21
"	182100219",691,23
"	182100221",23682,384
"	182100222",1848,43
"	182100223",13018,207
"	182100224",3087,40
"	182100225",23963,603
"	182100227",9628,102
"	182100301",9382,101
"	182100303",4234,59
"	182100305",4621,47
"	182100307",472,11
"	182100309",6996,51
"	182100310",1186,13
"	182100311",13404,131
"	182100312",339,11
"	182100313",16965,260
"	182100314",11140,87
"	182100315",9323,138
"	182100317",18677,520
"	182100318",6319,86
"	182100319",32482,443
"	182100320",9142,181
"	182100321",4404,152
"	182100322",29294,287
"	182100323",20241,400
"	182100324",28030,801
"	182100325",11423,212
"	182100326",5033,131
"	182100329",63906,554
"	182100401",2148,22
"	182100402",8343,75
"	182100404",28493,471
"	182100405",1204,23
"	182100407",28159,400
"	182100408",5708,140
"	182100409",7930,33
"	182100410",6888,27
"	182100411",67267,508
"	182100412",114693,815
"	182100413",18209,240
"	182100414",15817,211
"	182100415",11153,128
"	182100416",252,11
"	182100417",101047,300
"	182100419",72939,700
"	182100420",907,10
"	182100421",21494,410
"	182100422",7889,209
"	182100423",9743,115
"	182100424",8171,111
"	182100426",3735,56
"	182100427",10084,45
"	182100429",14609,209
"	l182100101",12845,193
"	182100503",31055,401
"	182100504",3109,47
"	182100507",20195,799
"	182100505",15148,181
